Filename,Additional Info,Target Directory
TRT00000408,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00000409,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002197,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00012507,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00000406,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00000410,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002256,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002257,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002258,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003109,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
